epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.872,1.11386,2.45514,1.61838,0.82011,0.80934,0.88818,0.5481,1.14811,2.00224,1.60957,0.00055263,0.00055263,0.00055263
2,628.794,1.08872,1.66879,1.5381,0.81943,0.92428,0.8768,0.60091,1.02119,1.40573,1.43319,0.000998576,0.000998576,0.000998576
3,946.928,1.08071,1.29657,1.5325,0.9519,0.91298,0.96709,0.68604,0.98627,1.04232,1.40469,0.0013345,0.0013345,0.0013345
4,1251.8,1.06796,1.0627,1.49414,0.90554,0.95694,0.95822,0.65482,0.98312,0.90422,1.35514,0.0011719,0.0011719,0.0011719
5,1557.67,1.00956,0.89267,1.42874,0.99224,0.95416,0.99088,0.69347,0.96432,0.70324,1.33536,0.00100687,0.00100687,0.00100687
6,1862.51,0.96701,0.79799,1.38218,0.9497,0.95164,0.97421,0.66712,0.93364,0.63915,1.31009,0.000841835,0.000841835,0.000841835
7,2156.4,0.89811,0.72465,1.33713,0.97639,0.98338,0.98697,0.71544,0.8829,0.56954,1.2722,0.000676802,0.000676802,0.000676802
8,12245.7,0.87009,0.64448,1.30619,0.99006,0.96903,0.99407,0.68771,0.936,0.53326,1.29083,0.000511769,0.000511769,0.000511769
9,12544.4,0.81944,0.57914,1.2689,0.99496,0.96712,0.99407,0.71257,0.87974,0.47711,1.25066,0.000346736,0.000346736,0.000346736
10,12835.6,0.77338,0.53866,1.22061,0.97987,0.98724,0.99211,0.72318,0.86473,0.46561,1.23295,0.000181703,0.000181703,0.000181703
